Geneid	Chr	Start	End	Strand	Length	dump/SRR6754132_subread.bam	dump/SRR6754133_subread.bam	dump/SRR6754134_subread.bam	dump/SRR6754135_subread.bam	dump/SRR6754136_subread.bam	dump/SRR6754137_subread.bam	dump/SRR6754138_subread.bam	dump/SRR6754139_subread.bam	dump/SRR6754140_subread.bam
Gm17101	chr1	5063060	5064647	+	1588	0	0	0	0	0	0	0	0	0
Atp6v1h	chr1	5070018	5162529	+	92512	2810	2764	1854	3486	3824	3514	3973	5149	3636
Gm7182	chr1	5276106	5277337	-	1232	1	0	3	0	0	0	0	0	0
Gm37567	chr1	5307739	5310017	+	2279	0	7	0	0	0	0	0	0	0
Gm38264	chr1	5403547	5405578	+	2032	0	24	0	0	0	0	0	0	0
Oprk1	chr1	5588466	5606131	+	17666	7	11	1	0	0	0	1	1	0
Gm36965	chr1	5617837	5618230	-	394	0	0	0	0	0	0	0	0	0
Gm22463	chr1	5644645	5644745	-	101	0	0	0	0	0	0	0	0	0
Gm37429	chr1	5842874	5844672	-	1799	0	10	0	1	0	0	0	0	0
Npbwr1	chr1	5913707	5917398	-	3692	0	6	0	0	0	0	0	0	0
Gm19214	chr1	6048963	6050045	-	1083	0	13	0	0	0	0	0	0	0
Rb1cc1	chr1	6206197	6276648	+	70452	3167	3772	2416	508	1377	1330	1551	1222	1496
4732440D04Rik	chr1	6209866	6215293	-	5428	150	366	138	17	155	86	113	129	160
Fam150a	chr1	6359218	6394731	+	35514	370	407	382	285	292	352	1080	896	728
Gm2147	chr1	6380394	6381032	+	639	222	238	207	172	175	216	657	577	451
Gm7417	chr1	6382634	6383106	-	473	2	0	4	5	4	7	2	0	4
Gm19026	chr1	6429655	6441296	-	11642	48	29	24	6	47	46	24	28	32
St18	chr1	6487231	6860940	+	373710	62	762	143	27	89	57	157	38	9
Gm42492	chr1	6861237	6864151	-	2915	0	0	0	0	0	0	0	0	0
Gm7449	chr1	6910560	6911222	+	663	0	5	0	0	2	1	1	0	1
Gm37108	chr1	6916559	6923588	+	7030	50	53	49	337	323	288	109	124	126
Gm37275	chr1	6929759	6929788	+	30	0	0	0	0	0	0	0	0	0
Gm37225	chr1	6998217	6998541	+	325	0	0	1	0	0	0	0	0	0
Gm37489	chr1	7013762	7013920	+	159	0	0	0	0	0	0	0	0	0
Gm5694	chr1	7035915	7037217	+	1303	0	0	0	0	0	0	0	0	0
Pcmtd1	chr1	7088920	7173628	+	84709	1080	1425	1032	394	605	655	928	494	734
Gm26983	chr1	7136199	7136586	-	388	12	19	7	60	56	58	48	46	21
Gm38372	chr1	7148110	7152137	+	4028	0	12	0	0	9	0	3	9	0
Gm9826	chr1	7177739	7179037	+	1299	94	64	73	549	670	551	197	208	234
Nras-ps2	chr1	7189742	7189919	-	178	0	0	0	0	0	0	0	0	0
Gm23274	chr1	7265803	7265932	+	130	0	0	0	0	0	0	0	0	0
Gm19002	chr1	7315451	7316462	+	1012	0	17	0	0	0	0	0	0	0
Gm26901	chr1	7349406	7397869	-	48464	9	44	65	51	51	58	34	40	23
Gm18984	chr1	7410679	7411993	+	1315	0	4	0	0	0	0	0	0	0
Gm30414	chr1	7497968	7518149	+	20182	1	110	4	1	0	0	6	0	0
Gm37791	chr1	7591646	7591931	+	286	0	2	0	0	0	0	0	0	0
Gm7470	chr1	7597379	7599473	+	2095	4	36	0	1	3	5	8	3	3
Rps2-ps2	chr1	7664081	7664961	+	881	3	3	3	9	10	16	7	9	4
Gm38216	chr1	7728861	7730565	-	1705	3	22	0	0	0	0	0	0	0
Sntg1	chr1	8361475	9299878	-	938404	1392	4033	1969	2950	2863	2699	1014	1055	855
Gm38024	chr1	8450960	8453491	-	2532	0	0	0	0	0	0	0	0	0
Gm16284	chr1	8468426	8468825	-	400	46	69	51	0	4	1	1	5	0
Gm38259	chr1	8527780	8531313	-	3534	0	4	1	0	0	0	25	0	0
Gm23358	chr1	8588615	8588724	-	110	0	0	0	0	0	0	0	0	0
Gm37005	chr1	8643696	8644859	-	1164	2	8	0	0	0	0	0	0	0
Gm15452	chr1	8791923	8792162	-	240	184	130	108	2182	2104	1940	307	418	481
Gm36964	chr1	8815842	8816039	+	198	24	34	34	45	58	69	52	33	40
Gm24276	chr1	8816138	8816247	+	110	65	56	39	86	92	87	61	59	64
Gm6152	chr1	8855928	8856267	-	340	1	3	2	6	11	16	11	10	12
Gm7445	chr1	8856763	8857102	+	340	2	2	0	3	3	3	8	0	3
Gm7493	chr1	8962996	8963621	-	626	7	3	2	34	15	23	14	10	19
Gm37629	chr1	9191067	9192116	-	1050	0	3	0	0	0	0	0	0	0
Gm38008	chr1	9258617	9259134	-	518	0	0	0	0	0	0	0	6	0
Gm37143	chr1	9286922	9290180	+	3259	0	4	0	0	0	0	0	2	0
Gm6187	chr1	9396773	9398687	-	1915	8	3	2	12	14	21	8	5	3
Gm18299	chr1	9439741	9440376	-	636	0	0	0	0	0	0	0	0	0
Gm7512	chr1	9450579	9451748	+	1170	3	7	2	9	7	10	16	11	21
Gm24765	chr1	9458670	9458772	+	103	0	0	0	0	0	0	0	0	0
Gm18300	chr1	9499338	9501522	-	2185	0	13	1	5	0	4	0	0	0
Rrs1	chr1	9545408	9547455	+	2048	3524	2503	2148	9187	9071	6892	2219	2740	2255
Adhfe1	chr1	9547948	9580673	+	32726	153	121	131	87	59	61	31	32	26
2610203C22Rik	chr1	9560832	9631175	-	70344	157	246	168	81	64	55	54	35	20
Gm6161	chr1	9574548	9575649	+	1102	16	28	9	50	49	33	14	8	9
3110035E14Rik	chr1	9601199	9627143	+	25945	55	107	61	7	4	0	26	10	0
Gm29520	chr1	9639255	9640582	-	1328	0	0	0	0	0	0	0	0	0
Mybl1	chr1	9667415	9700209	-	32795	49	118	14	21	47	46	66	29	22
Vcpip1	chr1	9718622	9748382	-	29761	1069	1145	594	415	734	645	336	638	589
1700034P13Rik	chr1	9747648	9791924	+	44277	190	200	118	231	261	291	212	225	201
Sgk3	chr1	9798107	9900845	+	102739	217	397	378	685	702	790	184	126	154
Gm6195	chr1	9802197	9802553	-	357	52	46	54	371	281	335	82	75	97
Gm22607	chr1	9834498	9834602	-	105	0	8	0	0	1	0	0	0	0
Mcmdc2	chr1	9908638	9942085	+	33448	132	179	115	334	379	300	250	197	134
Snhg6	chr1	9941959	9944118	-	2160	605	577	460	2139	2127	1991	1283	1048	781
Snord87	chr1	9942463	9942549	-	87	13	35	14	18	21	57	3	7	2
Tcf24	chr1	9960163	9967932	-	7770	6	12	8	30	0	0	4	3	0
E330040D14Rik	chr1	9967314	9968687	+	1374	1	2	0	17	0	0	0	0	0
Ppp1r42	chr1	9968624	10009136	-	40513	12	48	7	0	1	10	4	3	4
Gm15818	chr1	9982387	9992366	+	9980	7	4	0	0	0	1	0	2	0
Gm24674	chr1	10009814	10009917	-	104	0	0	0	0	0	0	0	0	0
Cops5	chr1	10024601	10038168	-	13568	1431	1445	773	6920	5838	5277	7509	6762	6014
Cspp1	chr1	10037987	10136768	+	98782	895	1734	1012	464	602	698	510	414	491
1700047N06Rik	chr1	10057025	10057944	-	920	7	10	0	0	0	0	0	0	0
Arfgef1	chr1	10137571	10232670	-	95100	1243	2277	1482	786	775	879	589	379	475
Gm26348	chr1	10166539	10166778	+	240	2	0	6	0	0	0	0	0	0
Gm37569	chr1	10197081	10198802	-	1722	15	22	1	23	21	6	19	4	0
Cpa6	chr1	10324720	10719945	-	395226	64	833	169	19	11	17	166	24	11
Gm38005	chr1	10449245	10451989	-	2745	0	3	0	0	0	0	1	0	0
Gm15604	chr1	10554098	10555553	-	1456	12	19	13	19	8	15	17	4	5
Gm25253	chr1	10555554	10555660	-	107	0	0	0	0	0	0	0	0	0
Gm15603	chr1	10695123	10695614	+	492	0	0	0	0	0	0	0	0	0
Gm37133	chr1	10782456	10784377	-	1922	0	0	0	0	0	0	0	0	0
Gm5522	chr1	10805281	10806522	+	1242	1	2	4	0	0	1	0	0	0
Gm28659	chr1	10868688	10869446	+	759	4	6	1	18	19	22	10	10	6
Gm22963	chr1	10921670	10921760	+	91	0	0	0	0	0	0	0	0	0
Prex2	chr1	10993465	11303681	+	310217	1404	2853	2553	119	127	118	61	24	15
Gm24173	chr1	11134111	11134238	-	128	0	0	0	0	0	0	0	0	0
Gm28686	chr1	11223566	11224174	-	609	0	2	0	1	2	1	3	1	0
Gm37410	chr1	11363926	11366964	-	3039	5	6	24	0	0	0	3	0	0
A830018L16Rik	chr1	11414105	11975901	+	561797	69	1224	252	218	225	170	93	43	10
Gm38178	chr1	11416918	11419388	+	2471	0	3	0	0	0	0	0	0	0
Gm29273	chr1	11608139	11608400	-	262	0	0	0	0	0	0	0	0	0
Gm38069	chr1	11704207	11706350	+	2144	0	14	0	0	0	0	0	1	0
Gm7560	chr1	12120960	12121832	+	873	121	118	74	481	393	369	198	129	178
Gm22633	chr1	12374936	12375042	+	107	1	1	0	0	0	1	0	3	1
Mir6341	chr1	12425986	12426106	+	121	0	0	0	0	0	0	0	0	0
Gm2383	chr1	12565577	12566383	+	807	4	3	3	10	33	21	15	19	28
Gm6216	chr1	12655867	12656553	+	687	1	2	0	0	0	0	0	0	0
Gm17644	chr1	12667563	12673090	+	5528	0	3	0	0	0	0	0	0	0
Gm29663	chr1	12670324	12671176	-	853	0	0	0	0	0	0	0	0	0
Sulf1	chr1	12692277	12861192	+	168916	5029	5363	3833	393	278	364	1071	1486	387
Slco5a1	chr1	12866549	12992650	-	126102	271	527	329	21	53	62	934	272	451
Gm37162	chr1	13059401	13059951	-	551	0	6	3	0	0	0	0	0	0
Gm5250	chr1	13062025	13062345	+	321	0	5	0	0	0	0	0	0	0
Gm29283	chr1	13068838	13078662	+	9825	0	0	0	0	1	0	0	3	0
Prdm14	chr1	13113457	13127163	-	13707	8	22	27	0	0	1	0	0	0
Ncoa2	chr1	13139105	13374083	-	234979	1444	2398	2092	150	642	804	515	238	437
Gm38376	chr1	13177462	13179714	-	2253	11	42	10	0	13	1	0	0	15
Gm37409	chr1	13234809	13236434	-	1626	15	23	2	0	0	4	4	0	0
Gm27881	chr1	13262198	13262279	+	82	1	0	3	0	0	0	0	0	0
Gm38223	chr1	13289812	13290506	-	695	4	14	10	0	0	1	2	0	0
Gm37702	chr1	13297036	13298907	-	1872	0	0	3	0	0	0	0	0	0
Gm23169	chr1	13334498	13334609	-	112	0	0	0	0	0	0	0	0	0
Gm38120	chr1	13343563	13348204	-	4642	22	76	30	0	6	0	4	0	0
Gm38380	chr1	13354483	13356730	-	2248	20	122	12	1	4	0	0	0	0
Gm29570	chr1	13376070	13388413	+	12344	9	19	46	3	5	1	0	1	0
Gm7593	chr1	13407012	13407655	-	644	22	28	16	39	41	34	42	27	39
Tram1	chr1	13564698	13589910	-	25213	5227	4950	3027	2172	5303	6134	4421	3625	3016
Lactb2	chr1	13623330	13660546	-	37217	438	709	726	772	1356	1616	1384	1585	1615
Gm38319	chr1	13641483	13642748	-	1266	1	12	4	0	11	3	0	9	8
Xkr9	chr1	13668771	13701723	+	32953	15	82	13	0	8	0	1	8	0
Gm26273	chr1	13774334	13774464	-	131	0	0	0	0	0	0	0	0	0
Gm5523	chr1	13785883	13786879	-	997	9	9	4	58	65	60	64	59	55
Gm36947	chr1	13846871	13849119	-	2249	0	0	0	0	0	0	0	0	0
Gm25491	chr1	13932378	13932685	+	308	0	0	0	0	0	0	0	0	0
Gm37400	chr1	14109215	14112819	-	3605	0	0	0	0	0	10	0	0	0
Eya1	chr1	14168954	14310235	-	141282	266	628	187	199	351	357	183	107	242
Gm22616	chr1	14182578	14182677	+	100	0	0	0	0	0	0	0	0	0
Gm37444	chr1	14255552	14255990	-	439	0	1	6	0	0	0	0	0	0
Gm9947	chr1	14752937	14776931	+	23995	598	715	371	14	30	22	123	20	83
Msc	chr1	14753346	14755992	-	2647	581	677	367	0	30	22	122	19	83
Gm37412	chr1	14788645	14792965	+	4321	0	11	0	0	0	0	0	0	0
Smt3h2-ps4	chr1	14839869	14840156	-	288	71	73	55	371	213	286	111	93	89
Rpl5-ps1	chr1	14865072	14865965	+	894	481	479	349	2267	1917	1663	711	799	644
Trpa1	chr1	14872648	14918862	-	46215	0	51	2	0	0	1	0	0	14
Gm26345	chr1	15019040	15019159	-	120	0	0	0	0	0	0	0	0	0
Gm10566	chr1	15268802	15269797	-	996	14	16	21	84	89	85	88	92	92
Kcnb2	chr1	15287254	15723750	+	436497	123	968	282	5	0	35	143	29	0
Gm38116	chr1	15364302	15365834	+	1533	0	3	0	0	0	0	0	0	0
Gm37138	chr1	15556249	15558337	+	2089	1	12	27	0	0	0	16	0	0
Gm25227	chr1	15685935	15686046	-	112	0	0	0	0	0	0	0	0	0
Gm25168	chr1	15757832	15757963	+	132	0	0	0	0	0	0	0	0	0
Gm6060	chr1	15760122	15760668	-	547	22	23	15	92	90	114	47	51	36
Gm28669	chr1	15760761	15760860	+	100	0	0	0	1	0	1	0	0	0
Terf1	chr1	15805646	15844052	+	38407	694	845	629	1486	1362	1290	383	323	301
Gm37509	chr1	15853331	15856499	+	3169	282	504	395	9	2	0	0	0	0
Sbspon	chr1	15853862	15892722	-	38861	646	1111	959	26	4	0	0	9	0
Gm23259	chr1	15879530	15879832	+	303	0	0	0	0	0	0	0	0	0
Gm7634	chr1	16053335	16053887	+	553	0	2	0	1	3	2	1	0	0
4930444P10Rik	chr1	16065979	16093325	-	27347	32	49	38	0	5	1	8	23	0
Rpl7	chr1	16101295	16104662	-	3368	3433	2715	2206	11958	11755	10278	5811	5818	4999
Rdh10	chr1	16105774	16133734	+	27961	2707	2811	2488	339	275	199	553	795	234
Gm38249	chr1	16208197	16210517	-	2321	0	29	12	0	0	0	7	0	0
Gm28095	chr1	16228506	16244062	+	15557	41	40	14	10	80	105	259	231	372
Stau2	chr1	16228674	16520112	-	291439	623	928	610	536	964	970	1827	1492	2027
Gm7568	chr1	16253592	16267921	+	14330	1	34	6	1	7	0	28	2	13
Ube2w	chr1	16540790	16619489	-	78700	2691	2578	2025	2074	1901	1948	2457	2696	1708
Gm38342	chr1	16618560	16621539	+	2980	64	56	44	48	36	43	60	47	17
Tceb1	chr1	16641725	16657042	-	15318	3005	4052	2965	10783	10026	9166	6538	7005	6133
D030040B21Rik	chr1	16657552	16662278	+	4727	2	12	14	25	21	26	19	19	22
Gm7654	chr1	16662980	16663662	-	683	2	8	11	5	10	12	8	16	8
Tmem70	chr1	16665207	16678275	+	13069	939	1181	815	6006	6093	5736	5688	4587	5837
Ly96	chr1	16688051	16709611	+	21561	186	265	211	65	111	70	138	156	121
Gm29649	chr1	16758205	16758623	-	419	2	0	1	3	1	2	5	3	1
Gm5828	chr1	16768279	16770138	-	1860	107	84	73	121	209	238	260	211	214
Gm28376	chr1	16898185	17091631	+	193447	244	540	345	153	198	360	790	384	459
4921511E07Rik	chr1	16930970	16931796	+	827	0	0	0	0	0	0	0	0	0
Jph1	chr1	16964560	17097889	-	133330	241	473	344	183	231	430	892	500	528
Gm28783	chr1	17124747	17128956	+	4210	1	27	0	0	0	0	0	0	0
Gdap1	chr1	17145362	17164271	+	18910	4	29	0	0	0	0	24	29	0
Gm28784	chr1	17168403	17173103	+	4701	0	3	0	0	0	0	0	0	0
Gm28785	chr1	17250114	17250492	-	379	0	0	0	0	0	0	0	0	0
Gm5251	chr1	17394958	17395429	+	472	10	6	5	38	23	23	18	17	10
Rbm6-ps1	chr1	17397412	17400281	-	2870	118	115	132	130	264	259	179	104	152
Gm6075	chr1	17429043	17429528	-	486	4	25	2	17	9	21	8	13	14
Gm25166	chr1	17520001	17520111	+	111	0	3	0	0	0	0	2	0	0
Pi15	chr1	17601901	17630939	+	29039	198	404	489	0	0	1	0	4	1
Gm28154	chr1	17615084	17641081	-	25998	218	304	361	1	1	1	0	4	0
Gm16070	chr1	17676027	17727646	-	51620	569	387	244	1	5	0	15	4	2
Crispld1	chr1	17727045	17766344	+	39300	4501	2141	1013	0	23	17	16	3	1
Gm28153	chr1	17741915	17805417	-	63503	4873	2587	1161	1	17	20	21	11	1
Gm7690	chr1	17947041	17948439	+	1399	107	64	60	27	20	25	69	63	56
Gm18775	chr1	17993010	17999622	-	6613	2	13	0	5	0	5	1	0	0
Gm17969	chr1	17993813	17997483	+	3671	0	4	0	5	0	4	0	0	0
RP24-571A14.6	chr1	17994462	18059056	-	64595	10	70	17	6	2	4	32	4	0
Gm28755	chr1	18005961	18016186	-	10226	2	6	10	0	1	0	1	0	0
Gm28756	chr1	18048100	18058269	-	10170	3	37	1	1	0	0	31	2	0
Crisp4	chr1	18115191	18145902	-	30712	2	105	0	0	0	1	0	1	0
Defb44-ps	chr1	18210053	18223564	-	13512	2	20	2	0	0	0	1	6	0
Defb18	chr1	18236473	18237443	-	971	0	5	0	0	0	0	0	0	0
Defb41	chr1	18250980	18265138	-	14159	40	83	23	138	189	168	41	39	36
Gm17837	chr1	18262395	18263379	-	985	39	45	22	138	188	167	26	38	36
Gm29006	chr1	18307824	18313906	+	6083	0	8	0	0	0	0	3	0	0
Gm5252	chr1	18708428	18709336	+	909	0	0	0	2	2	3	0	0	1
Gm24075	chr1	18969762	18969833	-	72	0	0	0	0	0	0	0	0	0
Gm28343	chr1	19037266	19037377	+	112	0	0	0	1	0	0	0	0	0
Gm28344	chr1	19062857	19063135	+	279	0	0	0	0	0	0	0	0	0
Gm15825	chr1	19063300	19104840	-	41541	0	48	0	0	0	0	2	15	0
Tfap2d	chr1	19103022	19166346	+	63325	674	669	451	3123	2911	2753	545	538	667
Gm10075	chr1	19153422	19153966	-	545	253	199	157	1368	1232	1115	209	216	271
Tfap2b	chr1	19208914	19238576	+	29663	7	10	2	0	0	0	18	0	0
Gm28340	chr1	19242725	19243769	+	1045	0	0	0	0	0	0	0	0	0
Gm28341	chr1	19320226	19320697	-	472	1	0	0	0	1	0	0	1	0
Gm4849	chr1	19330939	19333184	+	2246	48	66	51	95	195	238	133	72	148
Gm24633	chr1	19513855	19513919	-	65	0	1	0	0	0	0	0	0	0
Gm38382	chr1	19614269	19616767	+	2499	0	0	0	0	0	0	0	0	0
Pkhd1	chr1	20057779	20618064	-	560286	59	879	148	87	51	86	931	480	390
Gm37315	chr1	20062070	20065548	-	3479	0	0	0	0	0	0	0	0	0
4930486I03Rik	chr1	20356452	20392300	+	35849	0	19	3	0	0	5	73	5	3
Gm15795	chr1	20444258	20444810	-	553	14	12	11	58	43	47	26	27	17
Gm24162	chr1	20444811	20444912	-	102	0	0	0	0	0	0	0	0	0
Mir206	chr1	20679010	20679082	+	73	0	0	0	3	2	2	23	7	15
Gm28653	chr1	20679023	20684298	+	5276	4	6	13	343	898	837	1782	1093	1584
Mir133b	chr1	20682769	20682887	+	119	0	0	0	26	90	90	173	142	195
Il17a	chr1	20730905	20734496	+	3592	0	1	1	0	0	0	0	0	0
Il17f	chr1	20777146	20790617	-	13472	8	31	2	1	3	9	0	0	4
Mcm3	chr1	20802968	20820312	-	17345	256	201	167	9313	13081	11244	772	1262	1404
Gm20587	chr1	20821331	20822516	+	1186	0	0	0	9	3	6	0	1	0
Gm28065	chr1	20836661	20839689	+	3029	0	13	0	0	0	0	0	0	0
Gm24723	chr1	20842535	20842666	-	132	0	0	0	0	0	0	0	0	0
6720483E21Rik	chr1	20888650	20890473	-	1824	2	19	0	0	0	0	18	0	0
Paqr8	chr1	20890606	20939650	+	49045	186	324	171	18	209	167	215	94	132
Gm24171	chr1	20915410	20915540	-	131	0	3	0	0	4	0	0	0	0
Gm28064	chr1	20945711	20946914	+	1204	0	0	0	0	0	0	0	0	0
Efhc1	chr1	20951626	20990841	+	39216	224	439	303	13	0	22	35	28	50
Tram2	chr1	20996299	21079229	-	82931	1420	1823	1255	343	319	606	1025	931	577
Gm28287	chr1	21080114	21081748	+	1635	0	0	0	0	0	0	0	0	0
Gm2693	chr1	21178988	21187427	+	8440	7	3	8	0	0	3	5	5	6
Tmem14a	chr1	21218575	21230167	+	11593	186	236	139	103	27	86	117	103	84
Gm38224	chr1	21234722	21236821	+	2100	10	2	0	0	0	1	5	0	0
Gsta3	chr1	21240589	21265661	+	25073	25	76	3	0	0	0	5	17	0
Gm28836	chr1	21250359	21271593	-	21235	22	79	7	0	0	1	5	15	0
Gm7094	chr1	21272403	21272906	+	504	30	14	12	22	24	23	26	40	33
Gm4956	chr1	21285246	21298312	-	13067	0	1	0	0	0	0	0	0	0
Gm21909	chr1	21312517	21316320	-	3804	0	15	0	0	0	0	0	0	0
Khdc1a	chr1	21349641	21352200	+	2560	0	1	13	0	0	0	0	0	0
Gm16329	chr1	21354005	21355116	+	1112	0	0	0	0	0	0	0	0	0
Gm16327	chr1	21364803	21365030	+	228	1	6	0	0	0	0	0	0	0
Khdc1c	chr1	21368331	21370845	+	2515	0	7	3	0	0	0	0	0	0
Gm2709	chr1	21372670	21373764	+	1095	0	0	0	0	0	0	0	0	0
Gm16533	chr1	21379555	21379782	+	228	9	0	0	0	0	0	0	0	0
Khdc1b	chr1	21383556	21386373	+	2818	0	4	24	0	0	0	0	0	0
Gm16328	chr1	21390906	21391101	+	196	2	0	0	0	0	0	0	0	0
Kcnq5	chr1	21398403	21961942	-	563540	1513	2758	2548	4400	4484	4122	2937	2473	2470
Gm36949	chr1	21454691	21457017	-	2327	3	5	17	1	0	0	5	0	0
Gm7658	chr1	21511933	21513056	-	1124	790	684	625	4127	3989	3657	2392	2315	2138
Gm38243	chr1	21838948	21840514	-	1567	7	11	0	0	0	0	0	0	0
Gm26580	chr1	21959842	21962530	+	2689	40	56	4	13	51	2	29	3	16
Gm5696	chr1	22030064	22030615	-	552	8	7	7	27	12	20	9	9	5
Gm28239	chr1	22237849	22238295	+	447	0	0	0	0	0	0	0	0	0
Rims1	chr1	22286251	22805724	-	519474	443	1332	433	30	154	78	141	47	2
Gm26866	chr1	22740764	22741565	+	802	1	7	0	0	0	0	0	0	0
Gm7761	chr1	22984863	22987125	-	2263	0	0	0	0	0	0	1	0	0
Gm29506	chr1	23048295	23235673	-	187379	22	366	55	10	15	38	113	30	22
4933415F23Rik	chr1	23100473	23102253	-	1781	1	0	4	3	4	3	1	2	1
Gm24176	chr1	23245211	23245331	+	121	0	0	0	0	0	0	0	0	0
Gm6420	chr1	23255685	23256407	-	723	0	3	18	5	0	1	0	2	0
Mir30a	chr1	23272269	23272339	+	71	0	0	0	0	0	0	0	0	0
Gm27028	chr1	23291537	23291935	+	399	3	27	17	29	10	5	5	4	2
Mir30c-2	chr1	23291701	23291784	+	84	0	9	9	20	4	3	0	1	1
Gm29107	chr1	23293729	23294075	+	347	4	0	2	0	0	0	0	0	0
Gm20954	chr1	23345956	23346599	-	644	0	0	7	0	0	0	0	0	0
Ogfrl1	chr1	23366424	23397772	-	31349	99	148	119	54	81	115	10	9	3
Gm7784	chr1	23479539	23480527	+	989	2	5	9	4	6	3	8	1	2
Gm28822	chr1	23574587	23596664	+	22078	1	71	20	0	0	0	2	5	1
B3gat2	chr1	23761753	23849158	+	87406	486	639	642	253	193	222	263	216	155
Smap1	chr1	23844846	23922317	-	77472	855	1478	1306	690	666	648	572	452	301
Sdhaf4	chr1	23995939	24005656	-	9718	124	214	135	1332	1003	1000	1818	1548	2099
Gm26524	chr1	24005505	24005894	+	390	31	55	40	415	322	298	555	475	643
Fam135a	chr1	24011093	24100341	-	89249	389	947	811	919	1414	1143	420	143	345
Gm37580	chr1	24100625	24103424	+	2800	0	5	1	0	0	2	0	0	0
Gm26607	chr1	24125275	24126141	+	867	0	0	0	0	0	0	0	0	0
Col9a1	chr1	24177610	24252684	+	75075	67	140	43	2	3	0	4	0	0
Col19a1	chr1	24261890	24587472	-	325583	136	601	173	693	763	1568	448	228	625
Gm26418	chr1	24548841	24548977	-	137	0	0	0	0	0	0	0	0	0
Tubb4b-ps2	chr1	24594087	24595423	-	1337	306	273	182	927	1008	960	403	554	562
Gm28439	chr1	24611535	24612410	-	876	5531	5774	5706	2594	3731	4333	9257	6461	7271
